Time, NodeID, Gender, AgeYears, IPKey=Risk, NumIndividuals, NumInfected
0,2,M,40, High,1454,0
0,2,M,40, Low,630,0
0,2,M,80, High,277,0
0,2,M,80, Low,105,0
0,2,M,125, High,36,0
0,2,M,125, Low,32,0
0,2,F,40, High,1420,0
0,2,F,40, Low,641,0
0,2,F,80, High,232,0
0,2,F,80, Low,101,0
0,2,F,125, High,55,0
0,2,F,125, Low,17,0
0,1,M,40, High,390,0
0,1,M,40, Low,1622,0
0,1,M,80, High,78,0
0,1,M,80, Low,297,0
0,1,M,125, High,14,0
0,1,M,125, Low,67,0
0,1,F,40, High,441,0
0,1,F,40, Low,1628,0
0,1,F,80, High,68,0
0,1,F,80, Low,307,0
0,1,F,125, High,14,0
0,1,F,125, Low,74,0
1,2,M,40, High,1454,0
1,2,M,40, Low,630,0
1,2,M,80, High,277,0
1,2,M,80, Low,105,0
1,2,M,125, High,36,0
1,2,M,125, Low,32,0
1,2,F,40, High,1420,0
1,2,F,40, Low,641,0
1,2,F,80, High,232,0
1,2,F,80, Low,101,0
1,2,F,125, High,55,0
1,2,F,125, Low,17,0
1,1,M,40, High,390,1
1,1,M,40, Low,1622,19
1,1,M,80, High,78,0
1,1,M,80, Low,297,2
1,1,M,125, High,14,0
1,1,M,125, Low,67,0
1,1,F,40, High,441,1
1,1,F,40, Low,1628,19
1,1,F,80, High,68,0
1,1,F,80, Low,307,4
1,1,F,125, High,14,0
1,1,F,125, Low,74,0
2,2,M,40, High,1454,0
2,2,M,40, Low,630,0
2,2,M,80, High,277,0
2,2,M,80, Low,105,0
2,2,M,125, High,36,0
2,2,M,125, Low,32,0
2,2,F,40, High,1420,0
2,2,F,40, Low,641,0
2,2,F,80, High,232,0
2,2,F,80, Low,101,0
2,2,F,125, High,55,0
2,2,F,125, Low,17,0
2,1,M,40, High,390,1
2,1,M,40, Low,1622,17
2,1,M,80, High,78,0
2,1,M,80, Low,297,2
2,1,M,125, High,14,0
2,1,M,125, Low,67,0
2,1,F,40, High,441,1
2,1,F,40, Low,1628,19
2,1,F,80, High,68,0
2,1,F,80, Low,307,3
2,1,F,125, High,14,0
2,1,F,125, Low,74,0
3,2,M,40, High,1454,0
3,2,M,40, Low,630,0
3,2,M,80, High,277,0
3,2,M,80, Low,105,0
3,2,M,125, High,36,0
3,2,M,125, Low,32,0
3,2,F,40, High,1420,0
3,2,F,40, Low,641,0
3,2,F,80, High,232,0
3,2,F,80, Low,101,0
3,2,F,125, High,55,0
3,2,F,125, Low,17,0
3,1,M,40, High,390,2
3,1,M,40, Low,1622,20
3,1,M,80, High,78,0
3,1,M,80, Low,297,5
3,1,M,125, High,14,0
3,1,M,125, Low,67,0
3,1,F,40, High,441,1
3,1,F,40, Low,1628,21
3,1,F,80, High,68,0
3,1,F,80, Low,307,3
3,1,F,125, High,14,0
3,1,F,125, Low,74,0
4,2,M,40, High,1454,0
4,2,M,40, Low,630,0
4,2,M,80, High,277,0
4,2,M,80, Low,105,0
4,2,M,125, High,36,0
4,2,M,125, Low,32,0
4,2,F,40, High,1420,0
4,2,F,40, Low,641,0
4,2,F,80, High,232,0
4,2,F,80, Low,101,0
4,2,F,125, High,55,0
4,2,F,125, Low,17,0
4,1,M,40, High,390,5
4,1,M,40, Low,1622,21
4,1,M,80, High,78,0
4,1,M,80, Low,297,6
4,1,M,125, High,14,0
4,1,M,125, Low,67,0
4,1,F,40, High,441,1
4,1,F,40, Low,1628,25
4,1,F,80, High,68,1
4,1,F,80, Low,307,2
4,1,F,125, High,14,0
4,1,F,125, Low,74,0
5,2,M,40, High,1454,0
5,2,M,40, Low,630,0
5,2,M,80, High,277,0
5,2,M,80, Low,105,0
5,2,M,125, High,36,0
5,2,M,125, Low,32,0
5,2,F,40, High,1420,0
5,2,F,40, Low,641,0
5,2,F,80, High,232,0
5,2,F,80, Low,101,0
5,2,F,125, High,55,0
5,2,F,125, Low,17,0
5,1,M,40, High,390,5
5,1,M,40, Low,1622,30
5,1,M,80, High,78,0
5,1,M,80, Low,297,5
5,1,M,125, High,14,0
5,1,M,125, Low,67,1
5,1,F,40, High,441,2
5,1,F,40, Low,1627,26
5,1,F,80, High,68,1
5,1,F,80, Low,308,5
5,1,F,125, High,14,0
5,1,F,125, Low,74,0
6,2,M,40, High,1454,0
6,2,M,40, Low,630,0
6,2,M,80, High,277,0
6,2,M,80, Low,105,0
6,2,M,125, High,36,0
6,2,M,125, Low,32,0
6,2,F,40, High,1420,0
6,2,F,40, Low,641,0
6,2,F,80, High,232,0
6,2,F,80, Low,101,0
6,2,F,125, High,55,0
6,2,F,125, Low,17,0
6,1,M,40, High,390,6
6,1,M,40, Low,1622,28
6,1,M,80, High,78,1
6,1,M,80, Low,297,6
6,1,M,125, High,14,0
6,1,M,125, Low,67,0
6,1,F,40, High,441,5
6,1,F,40, Low,1627,28
6,1,F,80, High,68,1
6,1,F,80, Low,308,3
6,1,F,125, High,14,1
6,1,F,125, Low,74,0
7,2,M,40, High,1454,0
7,2,M,40, Low,630,0
7,2,M,80, High,277,0
7,2,M,80, Low,105,0
7,2,M,125, High,36,0
7,2,M,125, Low,32,0
7,2,F,40, High,1420,0
7,2,F,40, Low,641,0
7,2,F,80, High,232,0
7,2,F,80, Low,101,0
7,2,F,125, High,55,0
7,2,F,125, Low,17,0
7,1,M,40, High,390,7
7,1,M,40, Low,1622,25
7,1,M,80, High,78,1
7,1,M,80, Low,297,4
7,1,M,125, High,14,0
7,1,M,125, Low,67,0
7,1,F,40, High,441,7
7,1,F,40, Low,1627,27
7,1,F,80, High,68,1
7,1,F,80, Low,308,7
7,1,F,125, High,14,1
7,1,F,125, Low,74,1
8,2,M,40, High,1454,0
8,2,M,40, Low,630,0
8,2,M,80, High,277,0
8,2,M,80, Low,105,0
8,2,M,125, High,36,0
8,2,M,125, Low,32,0
8,2,F,40, High,1420,0
8,2,F,40, Low,641,0
8,2,F,80, High,232,0
8,2,F,80, Low,101,0
8,2,F,125, High,55,0
8,2,F,125, Low,17,0
8,1,M,40, High,390,11
8,1,M,40, Low,1622,28
8,1,M,80, High,78,4
8,1,M,80, Low,297,3
8,1,M,125, High,14,0
8,1,M,125, Low,67,0
8,1,F,40, High,441,13
8,1,F,40, Low,1627,31
8,1,F,80, High,68,5
8,1,F,80, Low,308,8
8,1,F,125, High,14,0
8,1,F,125, Low,74,1
9,2,M,40, High,1454,0
9,2,M,40, Low,630,0
9,2,M,80, High,277,0
9,2,M,80, Low,105,0
9,2,M,125, High,36,0
9,2,M,125, Low,32,0
9,2,F,40, High,1420,0
9,2,F,40, Low,641,0
9,2,F,80, High,232,0
9,2,F,80, Low,101,0
9,2,F,125, High,55,0
9,2,F,125, Low,17,0
9,1,M,40, High,390,13
9,1,M,40, Low,1622,30
9,1,M,80, High,78,4
9,1,M,80, Low,297,6
9,1,M,125, High,14,0
9,1,M,125, Low,67,2
9,1,F,40, High,441,19
9,1,F,40, Low,1627,28
9,1,F,80, High,68,5
9,1,F,80, Low,308,8
9,1,F,125, High,14,0
9,1,F,125, Low,74,1
10,2,M,40, High,1454,0
10,2,M,40, Low,630,0
10,2,M,80, High,277,0
10,2,M,80, Low,105,0
10,2,M,125, High,36,0
10,2,M,125, Low,32,0
10,2,F,40, High,1420,0
10,2,F,40, Low,641,0
10,2,F,80, High,232,0
10,2,F,80, Low,101,0
10,2,F,125, High,55,0
10,2,F,125, Low,17,0
10,1,M,40, High,390,20
10,1,M,40, Low,1622,34
10,1,M,80, High,78,6
10,1,M,80, Low,297,6
10,1,M,125, High,14,0
10,1,M,125, Low,67,2
10,1,F,40, High,441,23
10,1,F,40, Low,1627,28
10,1,F,80, High,68,7
10,1,F,80, Low,308,7
10,1,F,125, High,14,0
10,1,F,125, Low,74,1
11,2,M,40, High,1454,0
11,2,M,40, Low,630,0
11,2,M,80, High,277,0
11,2,M,80, Low,105,0
11,2,M,125, High,36,0
11,2,M,125, Low,32,0
11,2,F,40, High,1420,0
11,2,F,40, Low,641,0
11,2,F,80, High,232,0
11,2,F,80, Low,101,0
11,2,F,125, High,55,0
11,2,F,125, Low,17,0
11,1,M,40, High,390,29
11,1,M,40, Low,1622,31
11,1,M,80, High,78,5
11,1,M,80, Low,297,6
11,1,M,125, High,14,4
11,1,M,125, Low,67,2
11,1,F,40, High,441,39
11,1,F,40, Low,1627,40
11,1,F,80, High,68,7
11,1,F,80, Low,308,7
11,1,F,125, High,14,0
11,1,F,125, Low,74,1
12,2,M,40, High,1454,0
12,2,M,40, Low,630,0
12,2,M,80, High,277,0
12,2,M,80, Low,105,0
12,2,M,125, High,36,0
12,2,M,125, Low,32,0
12,2,F,40, High,1420,0
12,2,F,40, Low,641,0
12,2,F,80, High,232,0
12,2,F,80, Low,101,0
12,2,F,125, High,55,0
12,2,F,125, Low,17,0
12,1,M,40, High,390,45
12,1,M,40, Low,1621,37
12,1,M,80, High,78,9
12,1,M,80, Low,298,10
12,1,M,125, High,14,6
12,1,M,125, Low,67,1
12,1,F,40, High,441,52
12,1,F,40, Low,1627,42
12,1,F,80, High,68,6
12,1,F,80, Low,308,5
12,1,F,125, High,14,0
12,1,F,125, Low,74,2
13,2,M,40, High,1454,0
13,2,M,40, Low,630,0
13,2,M,80, High,277,0
13,2,M,80, Low,105,0
13,2,M,125, High,36,0
13,2,M,125, Low,32,0
13,2,F,40, High,1420,0
13,2,F,40, Low,641,0
13,2,F,80, High,232,0
13,2,F,80, Low,101,0
13,2,F,125, High,55,0
13,2,F,125, Low,17,0
13,1,M,40, High,390,63
13,1,M,40, Low,1621,35
13,1,M,80, High,78,12
13,1,M,80, Low,298,11
13,1,M,125, High,14,6
13,1,M,125, Low,67,2
13,1,F,40, High,441,54
13,1,F,40, Low,1627,40
13,1,F,80, High,68,8
13,1,F,80, Low,308,8
13,1,F,125, High,14,0
13,1,F,125, Low,74,1
14,2,M,40, High,1454,0
14,2,M,40, Low,630,0
14,2,M,80, High,277,0
14,2,M,80, Low,105,0
14,2,M,125, High,36,0
14,2,M,125, Low,32,0
14,2,F,40, High,1420,0
14,2,F,40, Low,641,0
14,2,F,80, High,232,0
14,2,F,80, Low,101,0
14,2,F,125, High,55,0
14,2,F,125, Low,17,0
14,1,M,40, High,390,76
14,1,M,40, Low,1621,42
14,1,M,80, High,78,12
14,1,M,80, Low,298,8
14,1,M,125, High,14,8
14,1,M,125, Low,67,2
14,1,F,40, High,441,82
14,1,F,40, Low,1627,42
14,1,F,80, High,68,11
14,1,F,80, Low,308,6
14,1,F,125, High,14,1
14,1,F,125, Low,74,1
15,2,M,40, High,1454,0
15,2,M,40, Low,630,0
15,2,M,80, High,277,0
15,2,M,80, Low,105,0
15,2,M,125, High,36,0
15,2,M,125, Low,32,0
15,2,F,40, High,1420,0
15,2,F,40, Low,641,0
15,2,F,80, High,232,0
15,2,F,80, Low,101,0
15,2,F,125, High,55,0
15,2,F,125, Low,17,0
15,1,M,40, High,390,83
15,1,M,40, Low,1621,49
15,1,M,80, High,78,12
15,1,M,80, Low,298,13
15,1,M,125, High,14,8
15,1,M,125, Low,67,1
15,1,F,40, High,441,94
15,1,F,40, Low,1627,46
15,1,F,80, High,68,14
15,1,F,80, Low,308,7
15,1,F,125, High,14,3
15,1,F,125, Low,74,0
16,2,M,40, High,1454,0
16,2,M,40, Low,630,0
16,2,M,80, High,277,0
16,2,M,80, Low,105,0
16,2,M,125, High,36,0
16,2,M,125, Low,32,0
16,2,F,40, High,1420,0
16,2,F,40, Low,641,0
16,2,F,80, High,232,0
16,2,F,80, Low,101,0
16,2,F,125, High,55,0
16,2,F,125, Low,17,0
16,1,M,40, High,390,96
16,1,M,40, Low,1621,54
16,1,M,80, High,78,19
16,1,M,80, Low,298,10
16,1,M,125, High,14,5
16,1,M,125, Low,67,0
16,1,F,40, High,441,113
16,1,F,40, Low,1627,44
16,1,F,80, High,68,24
16,1,F,80, Low,308,10
16,1,F,125, High,14,3
16,1,F,125, Low,74,1
17,2,M,40, High,1454,0
17,2,M,40, Low,630,0
17,2,M,80, High,277,0
17,2,M,80, Low,105,0
17,2,M,125, High,36,0
17,2,M,125, Low,32,0
17,2,F,40, High,1420,0
17,2,F,40, Low,641,0
17,2,F,80, High,232,0
17,2,F,80, Low,101,0
17,2,F,125, High,55,0
17,2,F,125, Low,17,0
17,1,M,40, High,390,102
17,1,M,40, Low,1621,51
17,1,M,80, High,78,18
17,1,M,80, Low,298,9
17,1,M,125, High,14,2
17,1,M,125, Low,67,0
17,1,F,40, High,441,125
17,1,F,40, Low,1627,49
17,1,F,80, High,68,16
17,1,F,80, Low,308,9
17,1,F,125, High,14,4
17,1,F,125, Low,74,1
18,2,M,40, High,1454,0
18,2,M,40, Low,630,0
18,2,M,80, High,277,0
18,2,M,80, Low,105,0
18,2,M,125, High,36,0
18,2,M,125, Low,32,0
18,2,F,40, High,1420,0
18,2,F,40, Low,641,0
18,2,F,80, High,232,0
18,2,F,80, Low,101,0
18,2,F,125, High,55,0
18,2,F,125, Low,17,0
18,1,M,40, High,390,120
18,1,M,40, Low,1621,57
18,1,M,80, High,78,19
18,1,M,80, Low,298,8
18,1,M,125, High,14,3
18,1,M,125, Low,67,1
18,1,F,40, High,441,130
18,1,F,40, Low,1627,60
18,1,F,80, High,68,21
18,1,F,80, Low,308,14
18,1,F,125, High,14,4
18,1,F,125, Low,74,1
19,2,M,40, High,1453,0
19,2,M,40, Low,630,0
19,2,M,80, High,278,0
19,2,M,80, Low,105,0
19,2,M,125, High,36,0
19,2,M,125, Low,32,0
19,2,F,40, High,1420,0
19,2,F,40, Low,641,0
19,2,F,80, High,232,0
19,2,F,80, Low,101,0
19,2,F,125, High,55,0
19,2,F,125, Low,17,0
19,1,M,40, High,390,120
19,1,M,40, Low,1621,72
19,1,M,80, High,78,25
19,1,M,80, Low,298,7
19,1,M,125, High,14,4
19,1,M,125, Low,67,1
19,1,F,40, High,441,132
19,1,F,40, Low,1627,58
19,1,F,80, High,68,17
19,1,F,80, Low,308,12
19,1,F,125, High,14,1
19,1,F,125, Low,74,1
20,2,M,40, High,1453,0
20,2,M,40, Low,630,0
20,2,M,80, High,278,0
20,2,M,80, Low,105,0
20,2,M,125, High,36,0
20,2,M,125, Low,32,0
20,2,F,40, High,1420,0
20,2,F,40, Low,641,0
20,2,F,80, High,232,0
20,2,F,80, Low,101,0
20,2,F,125, High,55,0
20,2,F,125, Low,17,0
20,1,M,40, High,390,107
20,1,M,40, Low,1621,68
20,1,M,80, High,78,20
20,1,M,80, Low,298,13
20,1,M,125, High,14,1
20,1,M,125, Low,67,3
20,1,F,40, High,440,117
20,1,F,40, Low,1627,62
20,1,F,80, High,69,16
20,1,F,80, Low,308,11
20,1,F,125, High,14,5
20,1,F,125, Low,74,1
21,2,M,40, High,1453,0
21,2,M,40, Low,630,0
21,2,M,80, High,278,0
21,2,M,80, Low,105,0
21,2,M,125, High,36,0
21,2,M,125, Low,32,0
21,2,F,40, High,1420,0
21,2,F,40, Low,641,0
21,2,F,80, High,232,0
21,2,F,80, Low,101,0
21,2,F,125, High,55,0
21,2,F,125, Low,17,0
21,1,M,40, High,390,91
21,1,M,40, Low,1621,71
21,1,M,80, High,78,15
21,1,M,80, Low,298,13
21,1,M,125, High,14,0
21,1,M,125, Low,67,4
21,1,F,40, High,440,103
21,1,F,40, Low,1627,66
21,1,F,80, High,69,17
21,1,F,80, Low,308,11
21,1,F,125, High,14,5
21,1,F,125, Low,74,1
22,2,M,40, High,1453,0
22,2,M,40, Low,630,0
22,2,M,80, High,278,0
22,2,M,80, Low,105,0
22,2,M,125, High,36,0
22,2,M,125, Low,32,0
22,2,F,40, High,1420,0
22,2,F,40, Low,641,0
22,2,F,80, High,232,0
22,2,F,80, Low,101,0
22,2,F,125, High,55,0
22,2,F,125, Low,17,0
22,1,M,40, High,390,66
22,1,M,40, Low,1621,75
22,1,M,80, High,78,11
22,1,M,80, Low,298,15
22,1,M,125, High,14,0
22,1,M,125, Low,67,3
22,1,F,40, High,440,87
22,1,F,40, Low,1627,78
22,1,F,80, High,69,14
22,1,F,80, Low,308,12
22,1,F,125, High,14,3
22,1,F,125, Low,74,2
23,2,M,40, High,1453,0
23,2,M,40, Low,630,0
23,2,M,80, High,278,0
23,2,M,80, Low,105,0
23,2,M,125, High,36,0
23,2,M,125, Low,32,0
23,2,F,40, High,1420,0
23,2,F,40, Low,641,0
23,2,F,80, High,232,0
23,2,F,80, Low,101,0
23,2,F,125, High,55,0
23,2,F,125, Low,17,0
23,1,M,40, High,390,49
23,1,M,40, Low,1621,85
23,1,M,80, High,78,10
23,1,M,80, Low,298,14
23,1,M,125, High,14,0
23,1,M,125, Low,67,6
23,1,F,40, High,440,71
23,1,F,40, Low,1627,77
23,1,F,80, High,69,8
23,1,F,80, Low,308,13
23,1,F,125, High,14,3
23,1,F,125, Low,74,3
24,2,M,40, High,1453,0
24,2,M,40, Low,630,0
24,2,M,80, High,278,0
24,2,M,80, Low,105,0
24,2,M,125, High,36,0
24,2,M,125, Low,32,0
24,2,F,40, High,1419,0
24,2,F,40, Low,641,0
24,2,F,80, High,233,0
24,2,F,80, Low,101,0
24,2,F,125, High,55,0
24,2,F,125, Low,17,0
24,1,M,40, High,390,39
24,1,M,40, Low,1621,67
24,1,M,80, High,78,9
24,1,M,80, Low,298,11
24,1,M,125, High,14,0
24,1,M,125, Low,67,6
24,1,F,40, High,440,49
24,1,F,40, Low,1626,83
24,1,F,80, High,69,8
24,1,F,80, Low,309,13
24,1,F,125, High,14,3
24,1,F,125, Low,74,3
25,2,M,40, High,1453,0
25,2,M,40, Low,630,0
25,2,M,80, High,278,0
25,2,M,80, Low,105,0
25,2,M,125, High,36,0
25,2,M,125, Low,32,0
25,2,F,40, High,1419,0
25,2,F,40, Low,641,0
25,2,F,80, High,233,0
25,2,F,80, Low,101,0
25,2,F,125, High,55,0
25,2,F,125, Low,17,0
25,1,M,40, High,390,27
25,1,M,40, Low,1621,63
25,1,M,80, High,78,8
25,1,M,80, Low,298,19
25,1,M,125, High,14,0
25,1,M,125, Low,67,5
25,1,F,40, High,440,31
25,1,F,40, Low,1626,92
25,1,F,80, High,69,5
25,1,F,80, Low,309,18
25,1,F,125, High,14,3
25,1,F,125, Low,74,2
26,2,M,40, High,1453,0
26,2,M,40, Low,630,0
26,2,M,80, High,278,0
26,2,M,80, Low,105,0
26,2,M,125, High,36,0
26,2,M,125, Low,32,0
26,2,F,40, High,1419,0
26,2,F,40, Low,641,0
26,2,F,80, High,233,0
26,2,F,80, Low,101,0
26,2,F,125, High,55,0
26,2,F,125, Low,17,0
26,1,M,40, High,390,20
26,1,M,40, Low,1621,67
26,1,M,80, High,78,9
26,1,M,80, Low,298,14
26,1,M,125, High,14,0
26,1,M,125, Low,67,5
26,1,F,40, High,440,23
26,1,F,40, Low,1626,84
26,1,F,80, High,69,3
26,1,F,80, Low,308,17
26,1,F,125, High,14,1
26,1,F,125, Low,75,2
27,2,M,40, High,1453,0
27,2,M,40, Low,630,0
27,2,M,80, High,278,0
27,2,M,80, Low,105,0
27,2,M,125, High,36,0
27,2,M,125, Low,32,0
27,2,F,40, High,1419,0
27,2,F,40, Low,641,0
27,2,F,80, High,233,0
27,2,F,80, Low,101,0
27,2,F,125, High,55,0
27,2,F,125, Low,17,0
27,1,M,40, High,390,17
27,1,M,40, Low,1621,91
27,1,M,80, High,78,7
27,1,M,80, Low,298,17
27,1,M,125, High,14,0
27,1,M,125, Low,67,3
27,1,F,40, High,440,16
27,1,F,40, Low,1625,91
27,1,F,80, High,69,2
27,1,F,80, Low,309,24
27,1,F,125, High,14,1
27,1,F,125, Low,75,2
28,2,M,40, High,1453,0
28,2,M,40, Low,630,0
28,2,M,80, High,278,0
28,2,M,80, Low,105,0
28,2,M,125, High,36,0
28,2,M,125, Low,32,0
28,2,F,40, High,1419,0
28,2,F,40, Low,641,0
28,2,F,80, High,233,0
28,2,F,80, Low,101,0
28,2,F,125, High,55,0
28,2,F,125, Low,17,0
28,1,M,40, High,390,15
28,1,M,40, Low,1621,84
28,1,M,80, High,78,3
28,1,M,80, Low,298,16
28,1,M,125, High,14,0
28,1,M,125, Low,67,6
28,1,F,40, High,440,14
28,1,F,40, Low,1625,81
28,1,F,80, High,69,1
28,1,F,80, Low,309,24
28,1,F,125, High,14,1
28,1,F,125, Low,75,1
29,2,M,40, High,1453,0
29,2,M,40, Low,630,0
29,2,M,80, High,278,0
29,2,M,80, Low,105,0
29,2,M,125, High,36,0
29,2,M,125, Low,32,0
29,2,F,40, High,1419,0
29,2,F,40, Low,641,0
29,2,F,80, High,233,0
29,2,F,80, Low,101,0
29,2,F,125, High,55,0
29,2,F,125, Low,17,0
29,1,M,40, High,390,12
29,1,M,40, Low,1621,93
29,1,M,80, High,78,3
29,1,M,80, Low,298,17
29,1,M,125, High,14,1
29,1,M,125, Low,67,6
29,1,F,40, High,440,7
29,1,F,40, Low,1625,83
29,1,F,80, High,69,1
29,1,F,80, Low,309,26
29,1,F,125, High,14,2
29,1,F,125, Low,75,1
30,2,M,40, High,1453,0
30,2,M,40, Low,630,0
30,2,M,80, High,278,0
30,2,M,80, Low,105,0
30,2,M,125, High,36,0
30,2,M,125, Low,32,0
30,2,F,40, High,1419,0
30,2,F,40, Low,641,0
30,2,F,80, High,233,0
30,2,F,80, Low,101,0
30,2,F,125, High,55,0
30,2,F,125, Low,17,0
30,1,M,40, High,390,10
30,1,M,40, Low,1621,94
30,1,M,80, High,78,3
30,1,M,80, Low,298,17
30,1,M,125, High,14,1
30,1,M,125, Low,67,4
30,1,F,40, High,440,5
30,1,F,40, Low,1625,76
30,1,F,80, High,69,0
30,1,F,80, Low,309,21
30,1,F,125, High,14,1
30,1,F,125, Low,75,2
31,2,M,40, High,1453,0
31,2,M,40, Low,630,0
31,2,M,80, High,278,0
31,2,M,80, Low,105,0
31,2,M,125, High,36,0
31,2,M,125, Low,32,0
31,2,F,40, High,1419,0
31,2,F,40, Low,641,0
31,2,F,80, High,233,0
31,2,F,80, Low,101,0
31,2,F,125, High,55,0
31,2,F,125, Low,17,0
31,1,M,40, High,390,5
31,1,M,40, Low,1621,101
31,1,M,80, High,78,3
31,1,M,80, Low,298,19
31,1,M,125, High,14,1
31,1,M,125, Low,67,5
31,1,F,40, High,440,6
31,1,F,40, Low,1625,72
31,1,F,80, High,69,0
31,1,F,80, Low,309,21
31,1,F,125, High,14,0
31,1,F,125, Low,75,4
32,2,M,40, High,1453,0
32,2,M,40, Low,630,0
32,2,M,80, High,278,0
32,2,M,80, Low,105,0
32,2,M,125, High,36,0
32,2,M,125, Low,32,0
32,2,F,40, High,1419,0
32,2,F,40, Low,641,0
32,2,F,80, High,233,0
32,2,F,80, Low,101,0
32,2,F,125, High,55,0
32,2,F,125, Low,17,0
32,1,M,40, High,390,4
32,1,M,40, Low,1621,94
32,1,M,80, High,78,3
32,1,M,80, Low,298,19
32,1,M,125, High,14,0
32,1,M,125, Low,67,3
32,1,F,40, High,440,5
32,1,F,40, Low,1625,67
32,1,F,80, High,69,0
32,1,F,80, Low,309,18
32,1,F,125, High,14,0
32,1,F,125, Low,75,4
33,2,M,40, High,1453,0
33,2,M,40, Low,630,0
33,2,M,80, High,278,0
33,2,M,80, Low,105,0
33,2,M,125, High,36,0
33,2,M,125, Low,32,0
33,2,F,40, High,1419,0
33,2,F,40, Low,641,0
33,2,F,80, High,233,0
33,2,F,80, Low,101,0
33,2,F,125, High,55,0
33,2,F,125, Low,17,0
33,1,M,40, High,390,3
33,1,M,40, Low,1621,101
33,1,M,80, High,78,2
33,1,M,80, Low,298,18
33,1,M,125, High,14,0
33,1,M,125, Low,67,1
33,1,F,40, High,440,3
33,1,F,40, Low,1625,82
33,1,F,80, High,69,0
33,1,F,80, Low,309,11
33,1,F,125, High,14,0
33,1,F,125, Low,75,6
34,2,M,40, High,1453,0
34,2,M,40, Low,630,0
34,2,M,80, High,278,0
34,2,M,80, Low,105,0
34,2,M,125, High,36,0
34,2,M,125, Low,32,0
34,2,F,40, High,1419,0
34,2,F,40, Low,641,0
34,2,F,80, High,233,0
34,2,F,80, Low,101,0
34,2,F,125, High,55,0
34,2,F,125, Low,17,0
34,1,M,40, High,390,1
34,1,M,40, Low,1621,100
34,1,M,80, High,78,0
34,1,M,80, Low,298,18
34,1,M,125, High,14,0
34,1,M,125, Low,67,1
34,1,F,40, High,440,2
34,1,F,40, Low,1625,80
34,1,F,80, High,69,0
34,1,F,80, Low,309,9
34,1,F,125, High,14,0
34,1,F,125, Low,75,5
35,2,M,40, High,1453,0
35,2,M,40, Low,630,0
35,2,M,80, High,278,0
35,2,M,80, Low,105,0
35,2,M,125, High,36,0
35,2,M,125, Low,32,0
35,2,F,40, High,1419,0
35,2,F,40, Low,641,0
35,2,F,80, High,233,0
35,2,F,80, Low,101,0
35,2,F,125, High,55,0
35,2,F,125, Low,17,0
35,1,M,40, High,390,1
35,1,M,40, Low,1621,83
35,1,M,80, High,78,0
35,1,M,80, Low,298,21
35,1,M,125, High,14,0
35,1,M,125, Low,67,3
35,1,F,40, High,440,1
35,1,F,40, Low,1625,81
35,1,F,80, High,69,0
35,1,F,80, Low,309,12
35,1,F,125, High,14,0
35,1,F,125, Low,75,4
36,2,M,40, High,1453,0
36,2,M,40, Low,630,0
36,2,M,80, High,278,0
36,2,M,80, Low,105,0
36,2,M,125, High,36,0
36,2,M,125, Low,32,0
36,2,F,40, High,1419,0
36,2,F,40, Low,641,0
36,2,F,80, High,233,0
36,2,F,80, Low,101,0
36,2,F,125, High,55,0
36,2,F,125, Low,17,0
36,1,M,40, High,390,1
36,1,M,40, Low,1621,84
36,1,M,80, High,78,0
36,1,M,80, Low,298,18
36,1,M,125, High,14,0
36,1,M,125, Low,67,4
36,1,F,40, High,440,1
36,1,F,40, Low,1625,66
36,1,F,80, High,69,0
36,1,F,80, Low,309,10
36,1,F,125, High,14,0
36,1,F,125, Low,75,4
37,2,M,40, High,1453,0
37,2,M,40, Low,630,0
37,2,M,80, High,278,0
37,2,M,80, Low,105,0
37,2,M,125, High,36,0
37,2,M,125, Low,32,0
37,2,F,40, High,1419,0
37,2,F,40, Low,641,0
37,2,F,80, High,233,0
37,2,F,80, Low,101,0
37,2,F,125, High,55,0
37,2,F,125, Low,17,0
37,1,M,40, High,390,1
37,1,M,40, Low,1621,71
37,1,M,80, High,78,0
37,1,M,80, Low,298,14
37,1,M,125, High,14,0
37,1,M,125, Low,67,4
37,1,F,40, High,440,1
37,1,F,40, Low,1625,66
37,1,F,80, High,69,0
37,1,F,80, Low,309,12
37,1,F,125, High,14,0
37,1,F,125, Low,75,4
38,2,M,40, High,1453,0
38,2,M,40, Low,630,0
38,2,M,80, High,278,0
